Grupo;Selección;Dorsal;Posición;Nombre;Equipo;Liga;Nacimiento
C;Dinamarca;;DL;Rasmus Højlund;Manchester United;Premier League;04/02/2003
C;Dinamarca;;DL;Andreas Skov Olsen;Club Brugge;Belgian Pro League;29/12/1999
C;Dinamarca;;DL;Jonas Wind;VfL Wolfsburg;Bundesliga;07/02/1999
C;Dinamarca;;DL;Yussuf Yurary Poulsen;RB Leipzig;Bundesliga;15/06/1994
C;Eslovenia;;PT;Vid Belec;APOEL;Cypriot First Division;06/06/1990
C;Eslovenia;;PT;Jan Oblak;Atlético Madrid;La Liga;07/01/1993
C;Eslovenia;;PT;Igor Vekic;Vejle BK;Superligaen;06/05/1998
C;Eslovenia;;PT;Matevž Vidovšek;Olimpija Ljubljana;PrvaLiga Telemach;30/10/1999
C;Eslovenia;;DF;Jure Balkovec;Alanyaspor;Süper Lig;09/09/1994
C;Eslovenia;;DF;Jaka Bijol;Udinese;Serie A;05/02/1999
C;Eslovenia;;DF;Miha Blaži?;Lech Poznan;Ekstraklasa;08/05/1993
C;Eslovenia;;DF;David Brekalo;Orlando City;MLS;03/12/1998
C;Eslovenia;;DF;Vanja Drkuši?;Sochi;Prem'yer-Liga;30/10/1999
C;Eslovenia;;DF;Erik Janža;Górnik Zabrze;Ekstraklasa;21/06/1993
C;Eslovenia;;DF;Žan Karni?nik;NK Celje;PrvaLiga Telemach;18/09/1994
C;Eslovenia;;DF;Žan Zaletel;Viborg FF;Superligaen;16/09/1999
C;Eslovenia;;MC;Timi Max Elšnik;Olimpija Ljubljana;PrvaLiga Telemach;29/04/1998
C;Eslovenia;;MC;Adam Gnezda ?erin;Panathinaikos;Super League Greece;16/07/1999
C;Eslovenia;;MC;Jon Gorenc Stankovi?;SK Sturm Graz;Austrian Bundesliga;14/01/1996
C;Eslovenia;;MC;Tomi Horvat;SK Sturm Graz;Austrian Bundesliga;24/03/1999
C;Eslovenia;;MC;Jasmin Kurti?;Südtirol;Serie B;10/01/1989
C;Eslovenia;;MC;Sandi Lovri?;Udinese;Serie A;28/03/1998
