Grupo;Selección;Dorsal;Posición;Nombre;Equipo;Liga;Nacimiento
C;Inglaterra;5;DF;John Stones;Manchester City;Premier League;28/05/1994
C;Inglaterra;12;DF;Kieran Trippier;Newcastle United;Premier League;19/09/1990
C;Inglaterra;2;DF;Kyle Walker;Manchester City;Premier League;28/05/1990
C;Inglaterra;10;MC;Jude Bellingham;Real Madrid;La Liga;29/06/2003
C;Inglaterra;11;MC;Phil Foden;Manchester City;Premier League;28/05/2000
C;Inglaterra;16;MC;Conor Gallagher;Chelsea;Premier League;06/02/2000
C;Inglaterra;26;MC;Kobbie Mainoo;Manchester United;Premier League;19/04/2005
C;Inglaterra;24;MC;Cole Palmer;Chelsea;Premier League;06/05/2002
C;Inglaterra;4;MC;Declan Rice;Arsenal;Premier League;14/01/1999
C;Inglaterra;25;MC;Adam Wharton;Crystal Palace;Premier League;06/02/2004
C;Inglaterra;20;DL;Jarrod Bowen;West Ham United;Premier League;20/12/1996
C;Inglaterra;21;DL;Eberechi Eze;Crystal Palace;Premier League;29/06/1998
C;Inglaterra;18;DL;Anthony Gordon;Newcastle United;Premier League;24/02/2001
C;Inglaterra;9;DL;Harry Kane;Bayern Munich;Bundesliga;28/07/1993
C;Inglaterra;7;DL;Bukayo Saka;Arsenal;Premier League;05/09/2001
C;Inglaterra;17;DL;Ivan Toney;Brentford;Premier League;16/03/1996
C;Inglaterra;19;DL;Ollie Watkins;Aston Villa;Premier League;30/12/1995
C;Inglaterra;-;DT;Gareth Southgate;Inglaterra;-;03/09/1970
C;Serbia;23;PT;Vanja Milinkovi?-Savi?;Torino;Serie A;20/02/1997
C;Serbia;12;PT;?or?e Petrovi?;Chelsea;Premier League;08/10/1999
C;Serbia;1;PT;Predrag Rajkovi?;Mallorca;La Liga;31/10/1995
C;Serbia;15;DF;Srdjan Babi?;Spartak Moskva;Prem'yer-Liga;22/04/1996
C;Serbia;4;DF;Nikola Milenkovi?;Fiorentina;Serie A;12/10/1997
C;Serbia;25;DF;Filip Mladenovi?;Panathinaikos;Super League Greece;15/08/1991
C;Serbia;2;DF;Strahinja Pavlovi?;Red Bull Salzburg;Austrian Bundesliga;24/04/2001
C;Serbia;24;DF;Uroš Spaji?;Crvena Zvezda;Superliga Srbije;13/02/1993
C;Serbia;3;DF;Nemanja Stoji?;Backa Topola;Superliga Srbije;15/01/1998
C;Serbia;13;DF;Miloš Veljkovi?;Werder Bremen;Bundesliga;26/09/1995
C;Serbia;26;MC;Veljko Birman?evi?;Sparta Praha;Fortuna Liga;05/03/1998
C;Serbia;21;MC;Mijat Ga?inovi?;AEK Athens;Super League Greece;08/02/1995
C;Serbia;6;MC;Nemanja Gudelj;Sevilla;La Liga;16/11/1991
C;Serbia;17;MC;Ivan Ili?;Torino;Serie A;17/03/2001
C;Serbia;22;MC;Saša Luki?;Fulham;Premier League;13/08/1996
C;Serbia;5;MC;Nemanja Maksimovi?;Getafe;La Liga;26/01/1995
C;Serbia;16;MC;Sr?an Mijailovi?;Crvena Zvezda;Superliga Srbije;10/11/1993
C;Serbia;20;MC;Sergej Milinkovi?-Savi?;Al Hilal;Saudi Pro League;27/02/1995
C;Serbia;19;MC;Lazar Vujadin Samardži?;Udinese Calcio;Serie A;24/02/2002
C;Serbia;8;DL;Luka Jovi?;AC Milan;Serie A;23/12/1997
